temp,i,j,"a[i,j]"
2.92,12,15,-1
2.92,12,16,1
2.92,12,17,1
2.92,12,18,-1
2.92,12,19,1
2.92,12,20,1
2.92,12,21,1
2.92,12,22,1
2.92,12,23,-1
2.92,12,24,1
2.92,12,25,1
2.92,12,26,1
2.92,12,27,-1
2.92,12,28,-1
2.92,12,29,-1
2.92,12,30,1
2.92,12,31,-1
2.92,12,32,1
2.92,12,33,-1
2.92,12,34,-1
2.92,12,35,-1
2.92,12,36,-1
2.92,12,37,-1
2.92,12,38,-1
2.92,12,39,-1
2.92,12,40,1
2.92,12,41,-1
2.92,12,42,-1
2.92,12,43,1
2.92,12,44,-1
2.92,12,45,-1
2.92,12,46,-1
2.92,12,47,-1
2.92,12,48,-1
2.92,12,49,-1
2.92,13,0,1
2.92,13,1,-1
2.92,13,2,-1
2.92,13,3,1
2.92,13,4,1
2.92,13,5,1
2.92,13,6,1
2.92,13,7,1
2.92,13,8,-1
2.92,13,9,1
2.92,13,10,-1
2.92,13,11,-1
2.92,13,12,1
2.92,13,13,1
2.92,13,14,1
2.92,13,15,-1
2.92,13,16,-1
2.92,13,17,-1
2.92,13,18,-1
2.92,13,19,-1
2.92,13,20,1
2.92,13,21,1
2.92,13,22,1
2.92,13,23,1
2.92,13,24,-1
2.92,13,25,-1
2.92,13,26,-1
2.92,13,27,1
2.92,13,28,1
2.92,13,29,1
2.92,13,30,1
2.92,13,31,1
2.92,13,32,1
2.92,13,33,1
2.92,13,34,1
2.92,13,35,1
2.92,13,36,1
2.92,13,37,-1
2.92,13,38,-1
2.92,13,39,1
2.92,13,40,1
2.92,13,41,1
2.92,13,42,1
2.92,13,43,1
2.92,13,44,1
2.92,13,45,1
2.92,13,46,1
2.92,13,47,1
2.92,13,48,1
2.92,13,49,1
2.92,14,0,1
2.92,14,1,1
2.92,14,2,1
2.92,14,3,1
2.92,14,4,1
2.92,14,5,1
2.92,14,6,-1
2.92,14,7,-1
2.92,14,8,-1
2.92,14,9,1
2.92,14,10,1
2.92,14,11,1
2.92,14,12,1
2.92,14,13,1
2.92,14,14,1
2.92,14,15,-1
2.92,14,16,-1
2.92,14,17,-1
2.92,14,18,-1
2.92,14,19,-1
2.92,14,20,-1
2.92,14,21,1
2.92,14,22,1
2.92,14,23,1
2.92,14,24,1
2.92,14,25,1
2.92,14,26,-1
2.92,14,27,-1
2.92,14,28,1
2.92,14,29,-1
2.92,14,30,-1
2.92,14,31,1
2.92,14,32,1
2.92,14,33,1
2.92,14,34,1
2.92,14,35,-1
2.92,14,36,1
2.92,14,37,-1
2.92,14,38,-1
2.92,14,39,-1
2.92,14,40,1
2.92,14,41,1
2.92,14,42,-1
2.92,14,43,-1
2.92,14,44,1
2.92,14,45,-1
2.92,14,46,1
2.92,14,47,1
2.92,14,48,1
2.92,14,49,-1
2.92,15,0,-1
2.92,15,1,1
2.92,15,2,1
2.92,15,3,1
2.92,15,4,-1
2.92,15,5,1
2.92,15,6,-1
2.92,15,7,-1
2.92,15,8,-1
2.92,15,9,-1
2.92,15,10,1
2.92,15,11,1
2.92,15,12,1
2.92,15,13,-1
2.92,15,14,-1
2.92,15,15,1
2.92,15,16,-1
2.92,15,17,-1
2.92,15,18,-1
2.92,15,19,1
2.92,15,20,1
2.92,15,21,-1
2.92,15,22,-1
2.92,15,23,-1
2.92,15,24,1
2.92,15,25,-1
2.92,15,26,-1
2.92,15,27,1
2.92,15,28,1
2.92,15,29,-1
2.92,15,30,-1
2.92,15,31,-1
2.92,15,32,-1
2.92,15,33,1
2.92,15,34,1
2.92,15,35,1
2.92,15,36,1
2.92,15,37,1
2.92,15,38,1
2.92,15,39,1
2.92,15,40,1
2.92,15,41,1
2.92,15,42,1
2.92,15,43,1
2.92,15,44,-1
2.92,15,45,1
2.92,15,46,1
2.92,15,47,1
2.92,15,48,-1
2.92,15,49,1
2.92,16,0,-1
2.92,16,1,1
2.92,16,2,1
2.92,16,3,-1
2.92,16,4,-1
2.92,16,5,-1
2.92,16,6,-1
2.92,16,7,1
2.92,16,8,1
2.92,16,9,-1
2.92,16,10,1
2.92,16,11,-1
2.92,16,12,1
2.92,16,13,1
2.92,16,14,1
2.92,16,15,-1
2.92,16,16,1
2.92,16,17,-1
2.92,16,18,1
2.92,16,19,-1
2.92,16,20,1
2.92,16,21,-1
2.92,16,22,-1
2.92,16,23,-1
2.92,16,24,1
2.92,16,25,1
2.92,16,26,1
2.92,16,27,1
2.92,16,28,1
2.92,16,29,-1
2.92,16,30,-1
2.92,16,31,-1
2.92,16,32,-1
2.92,16,33,-1
2.92,16,34,1
2.92,16,35,1
2.92,16,36,1
2.92,16,37,-1
2.92,16,38,-1
2.92,16,39,1
2.92,16,40,-1
2.92,16,41,1
2.92,16,42,1
2.92,16,43,1
2.92,16,44,1
2.92,16,45,1
2.92,16,46,1
2.92,16,47,1
2.92,16,48,1
2.92,16,49,1
2.92,17,0,1
2.92,17,1,1
2.92,17,2,-1
2.92,17,3,1
2.92,17,4,-1
2.92,17,5,-1
2.92,17,6,-1
2.92,17,7,1
2.92,17,8,1
2.92,17,9,-1
2.92,17,10,-1
2.92,17,11,1
2.92,17,12,1
2.92,17,13,1
2.92,17,14,-1
2.92,17,15,1
2.92,17,16,1
2.92,17,17,1
2.92,17,18,-1
2.92,17,19,-1
2.92,17,20,-1
2.92,17,21,1
2.92,17,22,-1
2.92,17,23,1
2.92,17,24,1
2.92,17,25,-1
2.92,17,26,-1
2.92,17,27,-1
2.92,17,28,-1
2.92,17,29,-1
2.92,17,30,1
2.92,17,31,1
2.92,17,32,-1
2.92,17,33,1
2.92,17,34,-1
2.92,17,35,1
2.92,17,36,1
2.92,17,37,1
2.92,17,38,1
2.92,17,39,1
2.92,17,40,1
2.92,17,41,1
2.92,17,42,1
2.92,17,43,1
2.92,17,44,1
2.92,17,45,1
2.92,17,46,-1
2.92,17,47,1
2.92,17,48,1
2.92,17,49,1
2.92,18,0,1
2.92,18,1,1
2.92,18,2,-1
2.92,18,3,1
2.92,18,4,1
2.92,18,5,1
2.92,18,6,1
2.92,18,7,1
2.92,18,8,1
2.92,18,9,-1
2.92,18,10,-1
2.92,18,11,-1
2.92,18,12,1
2.92,18,13,-1
2.92,18,14,-1
2.92,18,15,-1
2.92,18,16,-1
2.92,18,17,-1
2.92,18,18,-1
2.92,18,19,1
2.92,18,20,1
2.92,18,21,1
2.92,18,22,1
2.92,18,23,1
2.92,18,24,1
2.92,18,25,-1
2.92,18,26,-1
2.92,18,27,1
2.92,18,28,-1
2.92,18,29,-1
2.92,18,30,1
2.92,18,31,-1
2.92,18,32,-1
2.92,18,33,1
2.92,18,34,1
2.92,18,35,1
2.92,18,36,1
2.92,18,37,-1
2.92,18,38,1
2.92,18,39,1
2.92,18,40,1
2.92,18,41,1
2.92,18,42,1
2.92,18,43,1
2.92,18,44,-1
2.92,18,45,-1
2.92,18,46,1
2.92,18,47,-1
2.92,18,48,-1
2.92,18,49,-1
2.92,19,0,1
2.92,19,1,1
2.92,19,2,-1
2.92,19,3,1
2.92,19,4,1
2.92,19,5,1
2.92,19,6,-1
2.92,19,7,1
2.92,19,8,1
2.92,19,9,-1
2.92,19,10,1
2.92,19,11,-1
2.92,19,12,1
2.92,19,13,1
2.92,19,14,-1
2.92,19,15,-1
2.92,19,16,-1
2.92,19,17,-1
2.92,19,18,-1
2.92,19,19,1
2.92,19,20,-1
2.92,19,21,1
2.92,19,22,1
2.92,19,23,1
2.92,19,24,1
2.92,19,25,-1
2.92,19,26,-1
2.92,19,27,-1
2.92,19,28,-1
2.92,19,29,1
2.92,19,30,1
2.92,19,31,-1
2.92,19,32,-1
2.92,19,33,1
2.92,19,34,-1
2.92,19,35,-1
2.92,19,36,-1
2.92,19,37,-1
2.92,19,38,-1
2.92,19,39,-1
2.92,19,40,-1
2.92,19,41,1
2.92,19,42,1
2.92,19,43,1
2.92,19,44,-1
2.92,19,45,-1
2.92,19,46,-1
2.92,19,47,-1
2.92,19,48,-1
2.92,19,49,-1
2.92,20,0,1
2.92,20,1,1
2.92,20,2,-1
2.92,20,3,1
2.92,20,4,1
2.92,20,5,-1
2.92,20,6,1
2.92,20,7,1
2.92,20,8,-1
2.92,20,9,-1
2.92,20,10,-1
2.92,20,11,1
2.92,20,12,1
2.92,20,13,1
2.92,20,14,-1
2.92,20,15,-1
2.92,20,16,1
2.92,20,17,-1
2.92,20,18,1
2.92,20,19,1
2.92,20,20,1
2.92,20,21,-1
2.92,20,22,-1
2.92,20,23,1
2.92,20,24,-1
2.92,20,25,1
2.92,20,26,1
2.92,20,27,1
2.92,20,28,1
2.92,20,29,-1
2.92,20,30,-1
2.92,20,31,1
2.92,20,32,1
2.92,20,33,1
2.92,20,34,1
2.92,20,35,-1
2.92,20,36,1
2.92,20,37,1
2.92,20,38,1
2.92,20,39,1
2.92,20,40,-1
2.92,20,41,1
2.92,20,42,-1
2.92,20,43,-1
2.92,20,44,1
2.92,20,45,-1
2.92,20,46,1
2.92,20,47,1
